EN,CR,4+ IR,MSL,d,MorphoNo,SSA,M,CationNo,AnionNo,CD,Cs
1.96,1.39,0.71,2.56,5.89,4,64.8,2,1,1,1,431.82
1.96,1.39,0.71,2.56,5.89,4,64.8,2,1,1,2,398.88
1.96,1.39,0.71,2.56,5.89,4,64.8,2,1,1,3,312.18
1.96,1.39,0.71,2.56,5.89,4,64.8,2,1,1,5,272
1.96,1.39,0.71,2.56,5.89,4,64.8,2,1,1,7,230.7
1.96,1.39,0.71,2.56,5.89,4,64.8,2,1,1,8,156.88
1.96,1.39,0.71,2.56,5.89,4,64.8,2,1,1,10,126.2
1.96,1.39,0.71,2.56,5.89,2,27.4,2,1,1,1,112.72
1.96,1.39,0.71,2.56,5.89,2,27.4,2,1,1,2,104.95
1.96,1.39,0.71,2.56,5.89,2,27.4,2,1,1,3,67.76
1.96,1.39,0.71,2.56,5.89,2,27.4,2,1,1,5,67
1.96,1.39,0.71,2.56,5.89,2,27.4,2,1,1,7,44.24
1.96,1.39,0.71,2.56,5.89,2,27.4,2,1,1,8,35.36
1.96,1.39,0.71,2.56,5.89,2,27.4,2,1,1,10,28.8
1.96,1.39,0.71,2.56,5.89,3,32.9,2,1,1,1,390.38
1.96,1.39,0.71,2.56,5.89,3,32.9,2,1,1,2,366.24
1.96,1.39,0.71,2.56,5.89,3,32.9,2,1,1,3,247.2
1.96,1.39,0.71,2.56,5.89,3,32.9,2,1,1,5,240.3
1.96,1.39,0.71,2.56,5.89,3,32.9,2,1,1,7,171.52
1.96,1.39,0.71,2.56,5.89,3,32.9,2,1,1,8,121.04
1.96,1.39,0.71,2.56,5.89,3,32.9,2,1,1,10,100.4
1.96,1.39,0.71,2.56,5.89,2,17.5,3.5,1,1,1,89.4
1.96,1.39,0.71,2.56,5.89,2,17.5,3.5,1,1,2,71.3
1.96,1.39,0.71,2.56,5.89,2,17.5,3.5,1,1,4,64.9
1.96,1.39,0.71,2.56,5.89,2,17.5,3.5,1,1,10,50.6
1.96,1.39,0.71,2.56,5.89,4,10.68,1,1,3,1,125
1.96,1.39,0.71,2.56,5.89,4,52.44,2,1,1,1,464
1.96,1.39,0.71,2.56,5.89,4,52.44,2,1,1,1.5,440
1.96,1.39,0.71,2.56,5.89,4,52.44,2,1,1,2,424
1.96,1.39,0.71,2.56,5.89,4,52.44,2,1,1,2.5,408
1.96,1.39,0.71,2.56,5.89,4,52.44,2,1,1,3,400
1.96,1.39,0.71,2.56,5.89,4,52.44,2,1,1,5,320
1.96,1.39,0.71,2.56,5.89,3,25,1,3,2,1,45.65
1.96,1.39,0.71,2.56,5.89,3,25,1,2,2,1,18.4
1.96,1.39,0.71,2.56,5.89,3,25,1,1,1,1,62.85
1.96,1.39,0.71,2.56,5.89,4,42,1,3,2,1,112
1.96,1.39,0.71,2.56,5.89,4,42,1,2,2,1,19.74
1.96,1.39,0.71,2.56,5.89,4,42,1,1,1,1,89.14
1.96,1.39,0.71,2.56,5.89,1,72.4,1,2,1,3,165.2
1.96,1.39,0.71,2.56,5.89,1,72.4,1,2,1,3.5,160
1.96,1.39,0.71,2.56,5.89,1,72.4,1,2,1,5,131.3
1.96,1.39,0.71,2.56,5.89,1,72.4,1,2,1,10,122
1.96,1.39,0.71,2.56,5.89,1,72.4,1,2,1,20,108
1.96,1.39,0.71,2.56,5.89,2,44.6,2,1,1,1,85.4
1.96,1.39,0.71,2.56,5.89,2,44.6,2,1,1,2,47.7
1.96,1.39,0.71,2.56,5.89,2,44.6,2,1,1,3,32.5
1.96,1.39,0.71,2.56,5.89,2,44.6,2,1,1,4,17
1.96,1.39,0.71,2.56,5.89,2,44.6,2,1,1,5,14.8
1.96,1.39,0.71,2.56,5.89,3,78.22,2,1,1,0.3,124.79
1.96,1.39,0.71,2.56,5.89,3,78.22,2,1,1,0.5,121.18
1.96,1.39,0.71,2.56,5.89,3,78.22,2,1,1,1,106.53
1.96,1.39,0.71,2.56,5.89,3,78.22,2,1,1,3,77.42
1.96,1.39,0.71,2.56,5.89,3,78.22,2,1,1,5,65.32
1.96,1.39,0.71,2.56,5.89,3,78.22,2,1,1,10,49.45
1.88,1.26,0.53,2.26,5.59,4,127.6,2,1,1,1,1301
1.88,1.26,0.53,2.26,5.59,4,127.6,2,1,1,2.5,1073
1.88,1.26,0.53,2.26,5.59,4,127.6,2,1,1,5,883
1.88,1.26,0.53,2.26,5.59,4,127.6,2,1,1,10,650
1.88,1.26,0.53,2.26,5.59,4,127.6,2,1,1,20,450
1.88,1.26,0.53,2.26,5.59,4,17.46,2,1,1,1,236.5
1.88,1.26,0.53,2.26,5.59,4,17.46,2,1,1,2,225.3
1.88,1.26,0.53,2.26,5.59,4,17.46,2,1,1,5,203.3
1.88,1.26,0.53,2.26,5.59,4,17.46,2,1,1,10,175
1.88,1.26,0.53,2.26,5.59,4,17.46,2,1,1,15,152.5
1.88,1.26,0.53,2.26,5.59,3,21,2,1,1,2,624
1.88,1.26,0.53,2.26,5.59,4,66.416,2,1,1,1,718.7
1.88,1.26,0.53,2.26,5.59,4,66.416,2,1,1,2,696.7
1.88,1.26,0.53,2.26,5.59,4,66.416,2,1,1,5,620.8
1.88,1.26,0.53,2.26,5.59,4,66.416,2,1,1,10,536.7
1.88,1.26,0.53,2.26,5.59,4,66.416,2,1,1,20,476.7
1.88,1.26,0.53,2.26,5.59,4,29.3,6,1,1,0.5,654
1.88,1.26,0.53,2.26,5.59,4,29.3,6,1,1,1,595
1.88,1.26,0.53,2.26,5.59,4,29.3,6,1,1,5,499
1.88,1.26,0.53,2.26,5.59,3,36.31,6,1,1,0.5,996.16
1.88,1.26,0.53,2.26,5.59,3,36.31,6,1,1,1,986.95
1.88,1.26,0.53,2.26,5.59,3,36.31,6,1,1,2,979.9
1.88,1.26,0.53,2.26,5.59,3,36.31,6,1,1,3,972.75
1.88,1.26,0.53,2.26,5.59,3,36.31,6,1,1,4,966
1.88,1.26,0.53,2.26,5.59,3,36.31,6,1,1,5,957.5
1.88,1.26,0.53,2.26,5.59,3,13.09,6,1,1,0.5,354.13
1.88,1.26,0.53,2.26,5.59,3,13.09,6,1,1,1,342.5
1.88,1.26,0.53,2.26,5.59,3,13.09,6,1,1,2,321.7
1.88,1.26,0.53,2.26,5.59,3,13.09,6,1,1,3,307.7
1.88,1.26,0.53,2.26,5.59,3,13.09,6,1,1,4,294.5
1.88,1.26,0.53,2.26,5.59,3,13.09,6,1,1,5,289.5
1.88,1.26,0.53,2.26,5.59,4,113.9,2,1,1,1,936
1.88,1.26,0.53,2.26,5.59,4,113.9,2,1,1,2,883.2
1.88,1.26,0.53,2.26,5.59,4,113.9,2,1,1,5,810
1.88,1.26,0.53,2.26,5.59,4,113.9,2,1,1,10,746
1.88,1.26,0.53,2.26,5.59,4,113.9,2,1,1,20,686.4
1.88,1.26,0.53,2.26,5.59,4,56.6,8,1,1,0.5,568
1.88,1.26,0.53,2.26,5.59,4,56.6,8,1,1,1,499
1.88,1.26,0.53,2.26,5.59,4,56.6,8,1,1,2,421
1.88,1.26,0.53,2.26,5.59,4,56.6,8,1,1,5,372
1.88,1.26,0.53,2.26,5.59,3,67.08,3,1,1,1,426.6
1.88,1.26,0.53,2.26,5.59,3,67.08,3,1,1,10,404.8
1.88,1.26,0.53,2.26,5.59,4,326.2,6,1,1,0.5,703.5
1.88,1.26,0.53,2.26,5.59,4,326.2,6,1,1,10,509.9
1.88,1.26,0.53,2.26,5.59,3,51.2,2,1,1,1,464.4
1.88,1.26,0.53,2.26,5.59,3,51.2,2,1,1,10,300
1.91,1.24,0.48,2.25,5.73,3,201.38,3,1,1,1,951.6
1.91,1.24,0.48,2.25,5.73,3,201.38,3,1,1,10,555.4
1.91,1.24,0.48,2.25,5.73,3,24.2,2,3,1,5,1725
1.91,1.24,0.48,2.25,5.73,3,24.2,2,3,1,10,1584
1.91,1.24,0.48,2.25,5.73,3,24.2,2,3,1,15,1489
1.91,1.24,0.48,2.25,5.73,3,24.2,2,3,1,20,1411
1.91,1.24,0.48,2.25,5.73,3,24.2,2,3,1,30,1293
1.91,1.24,0.48,2.25,5.73,3,24.2,2,3,1,40,1193
1.91,1.24,0.48,2.25,5.73,3,19.93,6,1,1,2,1072.6
1.91,1.24,0.48,2.25,5.73,3,19.93,6,1,1,3,912.7
1.91,1.24,0.48,2.25,5.73,3,19.93,6,1,1,5,744.6
1.91,1.24,0.48,2.25,5.73,3,19.93,6,1,1,7,618.5
1.91,1.24,0.48,2.25,5.73,3,19.93,6,1,1,10,480.7
1.91,1.24,0.48,2.25,5.73,3,6.31,1,1,1,1,352.2
1.91,1.24,0.48,2.25,5.73,3,6.31,1,1,1,2,265.7
1.91,1.24,0.48,2.25,5.73,3,6.31,1,1,1,5,183.6
1.91,1.24,0.48,2.25,5.73,3,6.31,1,1,1,10,139.5
1.91,1.24,0.48,2.25,5.73,3,6.31,1,1,1,20,106.8
1.91,1.24,0.48,2.25,5.73,3,6.31,1,1,1,50,75.9
1.91,1.24,0.48,2.25,5.73,3,66.5,6,1,1,0.5,566
1.91,1.24,0.48,2.25,5.73,3,66.5,6,1,1,1,536.9
1.91,1.24,0.48,2.25,5.73,3,66.5,6,1,1,2,382.7
1.91,1.24,0.48,2.25,5.73,3,66.5,6,1,1,4,218.6
1.91,1.24,0.48,2.25,5.73,3,66.5,6,1,1,6,112.9
1.91,1.24,0.48,2.25,5.73,3,66.5,6,1,1,8,47.8
1.91,1.24,0.48,2.25,5.73,3,66.5,6,1,1,10,28.8
1.91,1.24,0.48,2.25,5.73,4,11.41,2,3,1,1,1355
1.91,1.24,0.48,2.25,5.73,4,11.41,2,3,1,2,1240
1.91,1.24,0.48,2.25,5.73,4,11.41,2,3,1,5,1133
1.91,1.24,0.48,2.25,5.73,4,11.41,2,3,1,10,1050
1.91,1.24,0.48,2.25,5.73,4,11.41,2,3,1,15,1000
1.91,1.24,0.48,2.25,5.73,4,11.41,2,3,1,20,967
1.91,1.24,0.48,2.25,5.73,3,31.2,1,4,2,1,565
1.91,1.24,0.48,2.25,5.73,3,31.2,1,4,2,4,543.7
1.91,1.24,0.48,2.25,5.73,3,31.2,1,4,2,8,500.7
1.91,1.24,0.48,2.25,5.73,3,31.2,1,4,2,10,486.3
1.91,1.24,0.48,2.25,5.73,3,31.2,1,4,2,20,400.7
1.91,1.24,0.48,2.25,5.73,4,59.2,6,1,1,1,1020.2
1.91,1.24,0.48,2.25,5.73,4,59.2,6,1,1,2,821.2
1.91,1.24,0.48,2.25,5.73,4,59.2,6,1,1,3,728.7
1.91,1.24,0.48,2.25,5.73,4,59.2,6,1,1,5,643.6
1.91,1.24,0.48,2.25,5.73,4,59.2,6,1,1,7,601.8
1.91,1.24,0.48,2.25,5.73,4,59.2,6,1,1,10,534.9
1.91,1.24,0.48,2.25,5.73,4,12.39,2,1,1,2,1542.6
1.91,1.24,0.48,2.25,5.73,4,12.39,2,1,1,3,1425
1.91,1.24,0.48,2.25,5.73,4,12.39,2,1,1,4,1338
1.91,1.24,0.48,2.25,5.73,4,12.39,2,1,1,8,1213
1.91,1.24,0.48,2.25,5.73,4,12.39,2,1,1,10,1152
1.91,1.24,0.48,2.25,5.73,4,12.39,2,1,1,20,890
1.91,1.24,0.48,2.25,5.73,3,43.1,2,1,1,1,685
1.63,1.22,0.58,2.44,5.76,2,5.5,6,1,1,1,152
1.63,1.22,0.58,2.44,5.76,2,5.5,6,1,1,2,145
1.63,1.22,0.58,2.44,5.76,2,5.5,6,1,1,5,136
1.63,1.22,0.58,2.44,5.76,2,5.5,6,1,1,10,120
1.63,1.22,0.58,2.44,5.76,2,5.5,6,1,1,15,90
1.63,1.22,0.58,2.44,5.76,4,11.17,0.5,1,2,0.2,22.4
1.63,1.22,0.58,2.44,5.76,4,11.17,0.5,1,2,0.4,15.4
1.63,1.22,0.58,2.44,5.76,4,11.17,0.5,1,2,0.6,12.6
1.63,1.22,0.58,2.44,5.76,4,11.17,0.5,1,2,0.8,7.8
1.63,1.22,0.58,2.44,5.76,4,11.17,0.5,1,2,1,7.6
1.63,1.22,0.58,2.44,5.76,3,32.3,2,1,1,1,211
1.63,1.22,0.58,2.44,5.76,3,32.3,2,1,1,2,202.56
1.63,1.22,0.58,2.44,5.76,3,32.3,2,1,1,10,170.91
1.63,1.22,0.58,2.44,5.76,3,32.3,2,1,1,20,135.04
2.36,1.39,0.66,2.42,6.18,2,16.64,2,1,1,0.75,241.5
2.36,1.39,0.66,2.42,6.18,2,16.64,2,1,1,1,208.13
2.36,1.39,0.66,2.42,6.18,2,16.64,2,1,1,2,177.8
2.36,1.39,0.66,2.42,6.18,2,16.64,2,1,1,3,167.85
2.36,1.39,0.66,2.42,6.18,2,16.64,2,1,1,4,160.06
2.36,1.39,0.66,2.42,6.18,2,16.64,2,1,1,5,155.08
2.36,1.39,0.66,2.42,6.18,2,16.64,2,1,1,6,150
2.36,1.39,0.66,2.42,6.18,2,16.64,2,1,1,7,147.58
2.36,1.39,0.66,2.42,6.18,2,16.64,2,1,1,10,139
2.36,1.39,0.66,2.42,6.18,2,5.24,3,1,1,1,261.8
2.36,1.39,0.66,2.42,6.18,2,5.24,3,1,1,1.5,220.9
2.36,1.39,0.66,2.42,6.18,2,5.24,3,1,1,2,163.6
2.36,1.39,0.66,2.42,6.18,2,5.24,3,1,1,2.5,86.3
2.36,1.39,0.66,2.42,6.18,2,5.24,3,1,1,3,65.4
2.36,1.39,0.66,2.42,6.18,2,39.89,1,4,2,0.5,156
2.36,1.39,0.66,2.42,6.18,2,39.89,1,4,2,0.8,113.3
2.36,1.39,0.66,2.42,6.18,2,39.89,1,4,2,1,95.6
2.36,1.39,0.66,2.42,6.18,2,39.89,1,4,2,3,74.3
2.36,1.39,0.66,2.42,6.18,2,39.89,1,4,2,5,69.6
2.36,1.39,0.66,2.42,6.18,4,12.8,1,1,1,0.25,243.8
2.36,1.39,0.66,2.42,6.18,4,12.8,1,1,1,0.5,236
2.36,1.39,0.66,2.42,6.18,4,12.8,1,1,1,1,228.2
2.36,1.39,0.66,2.42,6.18,4,12.8,1,1,1,2,220
2.36,1.39,0.66,2.42,6.18,4,12.8,1,1,1,5,208
2.36,1.39,0.66,2.42,6.18,3,3.63,2,1,1,0.2,264.8
2.36,1.39,0.66,2.42,6.18,3,3.63,2,1,1,0.5,244.9
2.36,1.39,0.66,2.42,6.18,3,3.63,2,1,1,1,220.7
2.36,1.39,0.66,2.42,6.18,3,3.63,2,1,1,2,205.5
2.36,1.39,0.66,2.42,6.18,3,3.63,2,1,1,4,175.4
2.36,1.39,0.66,2.42,6.18,3,3.63,2,1,1,10,134.5
2.36,1.39,0.66,2.42,6.18,2,7.2,1,2,1,0.5,62.2
2.36,1.39,0.66,2.42,6.18,2,7.2,1,2,1,1,60.2
2.36,1.39,0.66,2.42,6.18,2,7.2,1,2,1,2,57
2.36,1.39,0.66,2.42,6.18,2,7.2,1,2,1,5,52.6
2.36,1.39,0.66,2.42,6.18,2,7.2,1,2,1,10,48.6
2.36,1.39,0.66,2.42,6.18,2,13.6,1,2,1,0.5,143.9
2.36,1.39,0.66,2.42,6.18,2,13.6,1,2,1,1,137.1
2.36,1.39,0.66,2.42,6.18,2,13.6,1,2,1,2,131
2.36,1.39,0.66,2.42,6.18,2,13.6,1,2,1,5,124.1
2.36,1.39,0.66,2.42,6.18,2,13.6,1,2,1,10,117.6
2.16,1.3,0.65,2.41,6.15,4,12.7,1,2,2,1,100
2.16,1.3,0.65,2.41,6.15,4,12.7,1,2,2,2,89
2.16,1.3,0.65,2.41,6.15,4,12.7,1,2,2,3,83
2.16,1.3,0.65,2.41,6.15,4,12.7,1,2,2,5,77
2.16,1.3,0.65,2.41,6.15,4,12.7,1,2,2,7,72
2.16,1.3,0.65,2.41,6.15,4,12.7,1,2,2,10,66
2.16,1.3,0.65,2.41,6.15,4,12.7,1,2,2,15,58
2.16,1.3,0.65,2.41,6.15,4,12.7,1,2,2,20,52
2.16,1.3,0.65,2.41,6.15,4,19.5,1,2,2,1,180
2.16,1.3,0.65,2.41,6.15,4,19.5,1,2,2,2,141
2.16,1.3,0.65,2.41,6.15,4,19.5,1,2,2,3,130
2.16,1.3,0.65,2.41,6.15,4,19.5,1,2,2,5,119
2.16,1.3,0.65,2.41,6.15,4,19.5,1,2,2,7,113
2.16,1.3,0.65,2.41,6.15,4,19.5,1,2,2,10,105
2.16,1.3,0.65,2.41,6.15,4,19.5,1,2,2,15,95
2.16,1.3,0.65,2.41,6.15,4,19.5,1,2,2,20,86
2.16,1.3,0.65,2.41,6.15,2,22,1,4,2,0.5,148
2.16,1.3,0.65,2.41,6.15,2,22,1,4,2,1,136
2.16,1.3,0.65,2.41,6.15,2,22,1,4,2,2,123
2.16,1.3,0.65,2.41,6.15,2,22,1,4,2,5,113
2.16,1.3,0.65,2.41,6.15,2,22,1,4,2,10,102
2.16,1.3,0.65,2.41,6.15,2,22,1,4,2,20,97
2.16,1.3,0.65,2.41,6.15,2,22,1,4,2,30,94
2.16,1.3,0.65,2.41,6.15,4,18.68,1,1,3,0.5,178
2.16,1.3,0.65,2.41,6.15,4,18.68,1,1,3,1,168
2.16,1.3,0.65,2.41,6.15,4,18.68,1,1,3,2,159
2.16,1.3,0.65,2.41,6.15,4,18.68,1,1,3,4,148
2.16,1.3,0.65,2.41,6.15,4,21.1,1,2,2,1,129.2
2.16,1.3,0.65,2.41,6.15,4,21.1,1,2,2,1.5,115.1
2.16,1.3,0.65,2.41,6.15,4,21.1,1,2,2,3,102.3
2.16,1.3,0.65,2.41,6.15,4,21.1,1,2,2,5,92
2.16,1.3,0.65,2.41,6.15,4,21.1,1,2,2,10,73.8
2.16,1.3,0.65,2.41,6.15,2,6.64,1,2,2,0.1,226.1
2.16,1.3,0.65,2.41,6.15,2,6.64,1,2,2,0.2,150.7
2.16,1.3,0.65,2.41,6.15,2,6.64,1,2,2,0.3,133.8
2.16,1.3,0.65,2.41,6.15,2,6.64,1,2,2,0.5,101.5
2.16,1.3,0.65,2.41,6.15,2,6.64,1,2,2,0.6,85.4
2.16,1.3,0.65,2.41,6.15,2,6.64,1,2,2,0.7,75.3
2.16,1.3,0.65,2.41,6.15,2,6.64,1,2,2,1,34.6
2.16,1.3,0.65,2.41,6.15,4,58.2,2,1,1,1,116.8
2.16,1.3,0.65,2.41,6.15,4,58.2,2,1,1,10,44.3
